Transaction ID,Date,Customer ID,Gender,Product Category,Quantity,Price per Unit,Remise (%),CA_Brut,CA_Net,TVA
1,2023-01-02,CUST1,Male,Beauty,3,200,0,600,600.0,120.0
2,2023-01-03,CUST2,Female,Clothing,5,103,15,515,437.75,87.55000000000001
3,2023-01-04,CUST3,Female,Electronics,4,80,20,320,256.0,51.2
4,2023-01-05,CUST4,Female,Clothing,4,47,0,188,188.0,37.6
5,2023-01-06,CUST5,Female,Electronics,1,77,5,77,73.14999999999999,14.629999999999999
6,2023-01-07,CUST6,Male,Beauty,2,123,20,246,196.8,39.36000000000001
7,2023-01-08,CUST7,Male,Clothing,4,31,0,124,124.0,24.8
8,2023-01-09,CUST8,Male,Electronics,4,118,15,472,401.2,80.24000000000001
9,2023-01-10,CUST9,Female,Electronics,3,138,15,414,351.9,70.38
10,2023-01-11,CUST10,Male,Electronics,5,21,5,105,99.75,19.950000000000003
11,2023-01-12,CUST11,Male,Electronics,1,149,0,149,149.0,29.8
12,2023-01-13,CUST12,Female,Beauty,3,131,0,393,393.0,78.60000000000001
13,2023-01-14,CUST13,Female,Clothing,2,148,20,296,236.8,47.36000000000001
14,2023-01-15,CUST14,Male,Electronics,5,129,10,645,580.5,116.10000000000001
15,2023-01-16,CUST15,Male,Clothing,1,74,0,74,74.0,14.8
16,2023-01-17,CUST16,Female,Beauty,4,56,20,224,179.20000000000002,35.84
17,2023-01-18,CUST17,Female,Clothing,2,162,10,324,291.6,58.32000000000001
18,2023-01-19,CUST18,Female,Clothing,4,127,15,508,431.8,86.36000000000001
19,2023-01-20,CUST19,Male,Electronics,2,123,20,246,196.8,39.36000000000001
20,2023-01-21,CUST20,Female,Clothing,4,199,5,796,756.1999999999999,151.23999999999998
